"","Tipo","Literal","CCAA","Provincia","Municipio","Encuestadora.Medio","Fuente","Muestra","Trabajo.Campo","Último.día","Particip","Lead","Ganador","Ventaja","BNG","CC.NCa","CpM","Cs","CUP","EC","ECP","EH.Bildu","ERC.Sobiranistes","EV","Junts","JxCat","Más.País","Més.Compromís","NA.","PACMA","PDeCAT","PNV","PP","PRC","PSC","PSdeG.PSOE","PSOE","Somos.Región","TE","Unidas.Podemos","Vox"
"37","Generales","España","Esp.","-","-","Data10/OKDiario","https://okdiario.com/espana/hay-efecto-feijoo-pp-crece-costa-del-psoe-contiene-vox-juntos-sumarian-mayoria-absoluta-8877114","1000","6–7 Apr 2022","2022-04-07","-","1.0","PSOE","PSOE +1.0",0.8,0.6,NA,2.6,1,NA,NA,1.3,3.1,0.1,NA,2.2,3.3,NA,0.4,NA,NA,1.6,23.5,0.2,NA,NA,24.5,NA,NA,11,21.9
"38","Generales","España","Esp.","-","-","Sigma Dos/El Mundo","https://www.elmundo.es/espana/encuestas/2022/04/16/625ae651fdddff269f8b45ec.html","2400","5–7 Apr 2022","2022-04-07","-","0.8","PSOE","PSOE +0.8",NA,NA,NA,2.5,NA,NA,NA,NA,3.4,NA,NA,2.7,3.5,NA,NA,NA,NA,1.9,25.5,NA,NA,NA,26.3,NA,NA,10.6,17.5
"39","Generales","España","Esp.","-","-","Target Point/El Debate","https://www.eldebate.com/espana/20220411/desembarco-feijoo-provoca-empate-tecnico-entre-pp-psoe.html","1001","4–7 Apr 2022","2022-04-07","-","1.3","PSOE","PSOE +1.3",NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,23.7,NA,NA,NA,25,NA,NA,11.9,20.6
"40","Generales","España","Esp.","-","-","Hamalgama Métrica/VozPópuli","https://www.vozpopuli.com/espana/feijoo-pp-elecciones.html","-","4–7 Apr 2022","2022-04-07","-","1.1","PP","PP +1.1",0.7,0.5,NA,3,0.9,NA,NA,1.1,3.2,0.1,NA,2,3,NA,0.4,NA,NA,1.5,27,0.2,NA,NA,25.9,NA,NA,9.8,18.6
"41","Generales","España","Esp.","-","-","Simple Lógica/elDiario.es","https://www.eldiario.es/politica/pp-feijoo-remonta-supera-psoe-deja-tres-puntos_1_8913389.html","1048","1–7 Apr 2022","2022-04-07","65.0","0.7","PP","PP +0.7",NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,27.9,NA,NA,NA,27.2,NA,NA,11.4,17.6
"42","Generales","España","Esp.","-","-","GESOP/El Periódico","https://www.epe.es/es/politica/20220410/encuesta-elecciones-generales-feijoo-vox-13503146","1000","4–6 Apr 2022","2022-04-06","-","1.5","PP","PP +1.5",NA,NA,NA,2,NA,NA,NA,NA,2.8,NA,NA,NA,2.2,NA,NA,NA,NA,NA,28.4,NA,NA,NA,26.9,NA,NA,11.1,16.3
"43","Generales","España","Esp.","-","-","GAD3/ABC","https://www.abc.es/espana/abci-pp-recupera-feijoo-tras-crisis-y-ganaria-elecciones-202204082325_noticia.html","1000","4–6 Apr 2022","2022-04-06","-","4.1","PP","PP +4.1",0.9,0.4,NA,2.4,1,NA,NA,1,3.1,0.1,NA,1.8,2.7,NA,0.4,NA,NA,1.5,29.4,0.2,NA,NA,25.3,NA,NA,10.7,15.4
"44","Generales","España","Esp.","-","-","Metroscopia","https://www.vozpopuli.com/espana/feijoo-pp-psoe-encuesta.html","1200","4–6 Apr 2022","2022-04-06","-","2.9","PP","PP +2.9",NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,29.2,NA,NA,NA,26.3,NA,NA,10.6,17.6
"45","Generales","Palencia","Cyl.","Palencia","-","SyM Consulting","https://twitter.com/barometrocm/status/1512474091709775872","931","1–3 Apr 2022","2022-04-03","66.1","0.4","CpM","CpM +0.4",NA,NA,31.7,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.3,NA,NA,NA,14.2,NA,NA,0.4,NA
"46","Generales","España","Esp.","-","-","ElectoPanel/Electomanía","https://electomania.es/ep3a22","1431","25 Mar–1 Apr 2022","2022-04-01","-","1.1","PSOE","PSOE +1.1",0.9,0.6,NA,3,1,NA,NA,1.4,3.1,0.4,NA,2.4,2.7,NA,0.4,NA,NA,1.6,18.9,0.2,NA,NA,25.3,NA,NA,12.6,24.2
"47","Generales","España","Esp.","-","-","Metroscopia","https://www.vozpopuli.com/espana/feijoo-pp-psoe-encuesta.html","1200","28–30 Mar 2022","2022-03-30","-","Tie","PSOE","PSOE +Tie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA
